2026/05/20 22:38:01 main.go:12: test
2026/05/21 14:15:51 main.go:13: test
2026/05/21 14:15:52 bitflyer.go:94: action=GetBalance err=invalid character '<' looking for beginning of value
2026/05/21 14:17:32 main.go:13: test
2026/05/21 14:17:32 bitflyer.go:94: action=GetBalance err=invalid character '<' looking for beginning of value
2026/05/21 14:20:53 main.go:13: test
2026/05/21 14:20:54 bitflyer.go:94: action=GetBalance err=invalid character '<' looking for beginning of value
2026/05/21 14:21:14 main.go:13: test
2026/05/21 14:21:14 bitflyer.go:86: action=GetBalance err=json: cannot unmarshal object into Go value of type []bitflyer.Balance
2026/05/21 14:22:04 main.go:13: test
2026/05/21 14:22:04 bitflyer.go:86: action=GetBalance err=json: cannot unmarshal object into Go value of type []bitflyer.Balance
2026/05/21 14:22:57 main.go:13: test
2026/05/21 14:22:57 bitflyer.go:84: response: {"status":-500,"error_message":"Key not found","data":null}
2026/05/21 14:22:57 bitflyer.go:87: action=GetBalance err=json: cannot unmarshal object into Go value of type []bitflyer.Balance
2026/05/22 17:08:22 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77488.260000
2026/05/22 17:08:51 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77393.530000
2026/05/22 17:08:51 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77393.530000
2026/05/22 17:09:08 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77393.530000
2026/05/22 17:09:08 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77393.530000
2026/05/22 17:09:15 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77488.260000
2026/05/22 17:09:15 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77488.260000
2026/05/22 17:09:35 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77404.210000
2026/05/22 17:09:39 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77384.880000
2026/05/22 17:10:22 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77404.210000
2026/05/22 17:10:39 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77388.470000
2026/05/22 17:10:43 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77488.260000
2026/05/22 17:11:51 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77440.220000
2026/05/22 17:12:16 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77420.660000
2026/05/22 17:14:08 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77420.660000
2026/05/22 17:15:20 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77440.220000
2026/05/22 17:15:30 main.go:19: product=BTC_USD ltp=77255.000000 bid=77255.000000 ask=77488.260000
2026/05/22 17:15:40 main.go:19: product=BTC_USD ltp=77255.000000 bid=77316.700000 ask=77488.260000
2026/05/22 17:16:01 main.go:19: product=BTC_USD ltp=77255.000000 bid=77316.700000 ask=77629.310000
2026/05/22 17:16:17 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77506.420000
2026/05/22 17:16:23 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77506.420000
2026/05/22 17:16:34 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77583.850000
2026/05/22 17:16:49 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77517.920000
2026/05/22 17:17:13 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77502.260000
2026/05/22 17:18:09 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77517.920000
2026/05/22 17:19:08 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77517.920000
2026/05/22 17:19:18 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77492.120000
2026/05/22 17:19:25 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77517.920000
2026/05/22 17:19:42 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77501.190000
2026/05/22 17:20:17 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77517.920000
2026/05/22 17:20:34 main.go:19: product=BTC_USD ltp=77255.000000 bid=77340.200000 ask=77509.080000
2026/05/22 17:20:38 main.go:19: product=BTC_USD ltp=77255.000000 bid=77401.450000 ask=77509.080000
2026/05/22 17:20:49 bitflyer.go:214: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
